Feature_Set,Num_Features,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,CV_Mean,CV_Std,Overfitting
Combined_Top15,15,0.8901540522438044,0.8486269256530475,0.8512820512820513,0.8356979405034325,0.8434180138568129,0.8479571332886804,0.004007575432458558,0.04152712659075686
Perm_Top20,20,0.8874748827863362,0.845501227952668,0.8457619268179712,0.8356979405034325,0.8406998158379374,0.8499665103817815,0.004304425723525678,0.04197365483366822
Perm_Top10,10,0.8892928906324754,0.8441616432239339,0.8515366430260047,0.8242562929061785,0.8376744186046512,0.8463496316141995,0.009170042111252425,0.045131247408541464
Combined_Top20,20,0.8889101521385513,0.8430453226166555,0.8440111420612814,0.8320366132723113,0.8379811016363218,0.8458807769591425,0.00630957205684164,0.045864829521895745
RF_Top20,20,0.897713137498804,0.8385800401875418,0.8425492033739457,0.822883295194508,0.8326001389210466,0.8443402545210985,0.005829117942942972,0.05913309731126215
ANOVA_Top20,20,0.8819251746244379,0.8376869837017191,0.8359447004608295,0.8302059496567505,0.8330654420206659,0.8422638981915606,0.008079261943613402,0.044238190922718745
MI_Top20,20,0.8887187828915893,0.8359008707300737,0.8372093023255814,0.8237986270022883,0.8304498269896193,0.8430006697923643,0.004136476264338776,0.05281791216151566
All_Features,30,0.8852741364462731,0.835007814244251,0.8365921787709497,0.8224256292906178,0.8294484191091622,0.8411922304085733,0.0075878932036835415,0.050266322202022096
Combined_Top10,10,0.8847957133288681,0.8345612860013396,0.8324125230202578,0.8274599542334096,0.8299288501262336,0.8419959812458139,0.005232960478131165,0.050234427327528475
RF_Top10,10,0.8796287436608937,0.8323286447867828,0.85009765625,0.7967963386727689,0.8225844554689346,0.8330207635632954,0.005032811090199375,0.04730009887411091
ANOVA_Top10,10,0.855324849296718,0.8256307211431123,0.8388030888030888,0.7954233409610983,0.8165374677002584,0.8230408573342263,0.004619139892717116,0.029694128153605726
MI_Top10,10,0.8713041814180461,0.8216119669569101,0.8380487804878048,0.7862700228832952,0.8113341204250295,0.8188881446751507,0.005736019843538309,0.04969221446113603
