Feature,Perm_Importance_Mean,Perm_Importance_Std
Rainfall_30m.tif,0.11031480241125254,0.0039188418621273835
Geomorphology_30m.tif_2,0.05083724045545881,0.002104020042872198
Elevation_30m.tif,0.042241571779415066,0.004288531262707908
LULC_30m.tif_7,0.03326635409689664,0.0021368137734325524
Geomorphology_30m.tif_3,0.03083277517302969,0.001122776598408575
Soil_30m.tif_3695.0,0.01448984148247382,0.00223364567715012
Soil_30m.tif_3743.0,0.01243581156508149,0.0011165438490779451
Lithology_30m.tif_4,0.010024559053360128,0.001861144500680259
Stream_Density_30m.tif,0.009823621344050026,0.0022011623208513
Dis2Roads_30m.tif,0.009466398749720929,0.0011082539536495398
Geomorphology_30m.tif_6,0.006675597231524932,0.0011491055353835794
Dis2stream_30m.tif,0.006474659522214809,0.0015755551475219846
Soil_30m.tif_3808.0,0.006430006697923651,0.003064172978664483
LULC_30m.tif_5,0.0016521544987720405,0.0012114007560839995
LULC_30m.tif_8,0.001250279080151806,0.0005487030912009098
LULC_30m.tif_6,0.0002902433578923835,0.0005096098330213531
LULC_30m.tif_4,0.00020093770931011167,6.69792364367039e-05
LULC_30m.tif_2,0.00011163206072783982,0.0005400038679369365
Lithology_30m.tif_3,4.465282429113593e-05,0.00019463714862873974
Curvature_30m.tif,2.2326412145567965e-05,0.0006428300981865512
Geomorphology_30m.tif_4,2.2326412145567965e-05,6.69792364367039e-05
LULC_30m.tif_3,0.0,0.0
Lithology_30m.tif_5,0.0,0.0
Geomorphology_30m.tif_5,0.0,0.0
Lithology_30m.tif_2,-2.2326412145567965e-05,0.00021062695092780758
Aspect_sin,-0.00017861129716454372,0.0008401378755180431
Aspect_cos,-0.0007590980129493108,0.0008062277332113235
Slope_30m.tif,-0.0010716677829872624,0.0008221456860692908
TWI_30m.tif,-0.0016075016744808933,0.000903047484534783
SPI_30m.tif,-0.0022549676267023646,0.0012843024798633177
