Feature,VIF
Slope_30m.tif,inf
TWI_30m.tif,inf
LULC_30m.tif_5,7.042082088245004
Soil_30m.tif_3808.0,5.1350018448598
Soil_30m.tif_3743.0,3.1898573782553283
Soil_30m.tif_3695.0,2.9972571461457704
Geomorphology_30m.tif_3,2.4840461754380416
Lithology_30m.tif_4,2.3766581180163513
Elevation_30m.tif,2.078817687383161
Rainfall_30m.tif,2.042489980554575
LULC_30m.tif_7,1.9992933823223036
Dis2stream_30m.tif,1.632779639335615
Geomorphology_30m.tif_2,1.629996286307869
Stream_Density_30m.tif,1.6268983891621678
SPI_30m.tif,1.404835816854933
LULC_30m.tif_6,1.3322420764335592
Dis2Roads_30m.tif,1.2983013256101887
LULC_30m.tif_2,1.214979087502826
LULC_30m.tif_8,1.1565454727025524
Geomorphology_30m.tif_6,1.1398093789541477
Lithology_30m.tif_5,1.0639332961519707
Lithology_30m.tif_2,1.0587796746645135
Lithology_30m.tif_3,1.0577993794495366
LULC_30m.tif_4,1.0253301947113216
Geomorphology_30m.tif_4,1.0128438195612741
LULC_30m.tif_3,1.0112996231700537
Aspect_cos,1.009856328664808
Aspect_sin,1.004652977149099
Curvature_30m.tif,1.0030184685172132
Geomorphology_30m.tif_5,1.0024108102837395
